TrigReport ---------- Event  Summary ------------
TrigReport Events total = 2171 passed = 511 failed = 1660
TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   28       1362       1362          0          0 hltPreDoubleEle5CaloIdLMW
TrigReport     1   29       1362       1362          0          0 hltEcalDigis
TrigReport     1   30       1362       1362          0          0 hltEcalPreshowerDigis
TrigReport     1   31       1362       1362          0          0 hltEcalUncalibRecHit
TrigReport     1   32       1362       1362          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   33       1362       1362          0          0 hltEcalRecHit
TrigReport     1   34       1362       1362          0          0 hltEcalPreshowerRecHit
TrigReport     1   35       1362       1362          0          0 hltRechitInRegionsECAL
TrigReport     1   36       1362       1362          0          0 hltRechitInRegionsES
TrigReport     1   37       1362       1362          0          0 hltParticleFlowRecHitECALL1Seeded
TrigReport     1   38       1362       1362          0          0 hltParticleFlowRecHitPSL1Seeded
TrigReport     1   39       1362       1362          0          0 hltParticleFlowClusterPSL1Seeded
TrigReport     1   40       1362       1362          0          0 hltParticleFlowClusterECALUncorrectedL1Seeded
TrigReport     1   41       1362       1362          0          0 hltParticleFlowClusterECALL1Seeded
TrigReport     1   42       1362       1362          0          0 hltParticleFlowSuperClusterECALL1Seeded
TrigReport     1   43       1362       1362          0          0 hltEgammaCandidates
TrigReport     1   44       1362       1289         73          0 hltEGL1SingleEG5WithJetAndTauFilter
TrigReport     1   45       1289       1225         64          0 hltEG5EtFilter
TrigReport     1   46       1225       1225          0          0 hltHcalDigis
TrigReport     1   47       1225       1225          0          0 hltHbhePhase1Reco
TrigReport     1   48       1225       1225          0          0 hltHbhereco
TrigReport     1   49       1225       1225          0          0 hltHfprereco
TrigReport     1   50       1225       1225          0          0 hltHfreco
TrigReport     1   51       1225       1225          0          0 hltHoreco
TrigReport     1   52       1225       1225          0          0 hltTowerMakerForAll
TrigReport     1   53       1225       1225          0          0 hltHcalDigisL1EGSeeded
TrigReport     1   54       1225       1225          0          0 hltHbhePhase1RecoMethod2L1EGSeeded
TrigReport     1   55       1225       1225          0          0 hltHbherecoMethod2L1EGSeeded
TrigReport     1   56       1225       1225          0          0 hltTowerMakerMethod2L1EGSeeded
TrigReport     1   57       1225       1225          0          0 hltFixedGridRhoFastjetAllCaloForMuons
TrigReport     1   58       1225       1225          0          0 hltEgammaHoverE
TrigReport     1   59       1225       1085        140          0 hltEG5HEFilter
TrigReport     1   60       1085       1085          0          0 hltEgammaClusterShape
TrigReport     1   61       1085        964        121          0 hltEG5CaloIdLClusterShapeFilter
TrigReport     1   62        964        964          0          0 hltSiPixelDigis
TrigReport     1   63        964        964          0          0 hltSiPixelClusters
TrigReport     1   64        964        964          0          0 hltSiPixelClustersCache
TrigReport     1   65        964        964          0          0 hltSiPixelRecHits
TrigReport     1   66        964        964          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1   67        964        964          0          0 hltSiStripRawToClustersFacility
TrigReport     1   68        964        964          0          0 hltSiStripClusters
TrigReport     1   69        964        964          0          0 hltPixelLayerTriplets
TrigReport     1   70        964        964          0          0 hltEgammaHoverE
TrigReport     1   71        964        964          0          0 hltEgammaSuperClustersToPixelMatch
TrigReport     1   72        964        964          0          0 hltEleSeedsTrackingRegions
TrigReport     1   73        964        964          0          0 hltElePixelHitDoublets
TrigReport     1   74        964        964          0          0 hltElePixelHitTriplets
TrigReport     1   75        964        964          0          0 hltElePixelSeedsDoublets
TrigReport     1   76        964        964          0          0 hltElePixelSeedsTriplets
TrigReport     1   77        964        964          0          0 hltElePixelSeedsCombined
TrigReport     1   78        964        964          0          0 hltEgammaElectronPixelSeeds
TrigReport     1   79        964        964          0          0 hltEgammaPixelMatchVars
TrigReport     1   80        964        743        221          0 hltEle5CaloIdLPixelMatchFilter
TrigReport     1   81        743        690         53          0 hltEle5CaloIdLMWPMS2Filter
TrigReport     1   82        690        690          0          0 hltEcalDigis
TrigReport     1   83        690        690          0          0 hltEcalPreshowerDigis
TrigReport     1   84        690        690          0          0 hltEcalUncalibRecHit
TrigReport     1   85        690        690          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   86        690        690          0          0 hltEcalRecHit
TrigReport     1   87        690        690          0          0 hltEcalPreshowerRecHit
TrigReport     1   88        690        690          0          0 hltParticleFlowRecHitECALUnseeded
TrigReport     1   89        690        690          0          0 hltParticleFlowRecHitPSUnseeded
TrigReport     1   90        690        690          0          0 hltParticleFlowClusterPSUnseeded
TrigReport     1   91        690        690          0          0 hltParticleFlowClusterECALUncorrectedUnseeded
TrigReport     1   92        690        690          0          0 hltParticleFlowClusterECALUnseeded
TrigReport     1   93        690        690          0          0 hltParticleFlowSuperClusterECALUnseeded
TrigReport     1   94        690        690          0          0 hltEgammaCandidatesUnseeded
TrigReport     1   95        690        690          0          0 hltEgammaCandidatesWrapperUnseeded
TrigReport     1   96        690        613         77          0 hltDiEG5EtUnseededFilter
TrigReport     1   97        613        613          0          0 hltHcalDigis
TrigReport     1   98        613        613          0          0 hltHbhePhase1Reco
TrigReport     1   99        613        613          0          0 hltHbhereco
TrigReport     1  100        613        613          0          0 hltHfprereco
TrigReport     1  101        613        613          0          0 hltHfreco
TrigReport     1  102        613        613          0          0 hltHoreco
TrigReport     1  103        613        613          0          0 hltTowerMakerForAll
TrigReport     1  104        613        613          0          0 hltHcalDigisL1EGUnseeded
TrigReport     1  105        613        613          0          0 hltHbhePhase1RecoMethod2L1EGUnseeded
TrigReport     1  106        613        613          0          0 hltHbherecoMethod2L1EGUnseeded
TrigReport     1  107        613        613          0          0 hltTowerMakerMethod2L1EGUnseeded
TrigReport     1  108        613        613          0          0 hltFixedGridRhoFastjetAllCaloForMuons
TrigReport     1  109        613        613          0          0 hltEgammaHoverEUnseeded
TrigReport     1  110        613        540         73          0 hltDiEG5HEUnseededFilter
TrigReport     1  111        540        540          0          0 hltEgammaClusterShapeUnseeded
TrigReport     1  112        540        474         66          0 hltDiEG5CaloIdLClusterShapeUnseededFilter
TrigReport     1  113        474        474          0          0 hltSiPixelDigis
TrigReport     1  114        474        474          0          0 hltSiPixelClusters
TrigReport     1  115        474        474          0          0 hltSiPixelClustersCache
TrigReport     1  116        474        474          0          0 hltSiPixelRecHits
TrigReport     1  117        474        474          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1  118        474        474          0          0 hltSiStripRawToClustersFacility
TrigReport     1  119        474        474          0          0 hltSiStripClusters
TrigReport     1  120        474        474          0          0 hltPixelLayerTriplets
TrigReport     1  121        474        474          0          0 hltEgammaHoverEUnseeded
TrigReport     1  122        474        474          0          0 hltEgammaSuperClustersToPixelMatchUnseeded
TrigReport     1  123        474        474          0          0 hltEleSeedsTrackingRegionsUnseeded
TrigReport     1  124        474        474          0          0 hltElePixelHitDoubletsUnseeded
TrigReport     1  125        474        474          0          0 hltElePixelHitTripletsUnseeded
TrigReport     1  126        474        474          0          0 hltElePixelSeedsDoubletsUnseeded
TrigReport     1  127        474        474          0          0 hltElePixelSeedsTripletsUnseeded
TrigReport     1  128        474        474          0          0 hltElePixelSeedsCombinedUnseeded
TrigReport     1  129        474        474          0          0 hltEgammaElectronPixelSeedsUnseeded
TrigReport     1  130        474        474          0          0 hltEgammaPixelMatchVarsUnseeded
TrigReport     1  131        474        385         89          0 hltDiEle5CaloIdLPixelMatchUnseededFilter
TrigReport     1  132        385        360         25          0 hltDiEle5CaloIdLMWPMS2UnseededFilter
TrigReport     1  133        360        360          0          0 hltBoolEnd
