TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1000 passed = 207 failed = 793

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   84         69         69          0          0 hltEgammaGsfElectrons
TrigReport     1   85         69         69          0          0 hltEgammaGsfTrackVars
TrigReport     1   86         69         65          4          0 hltEle25WPTightGsfOneOEMinusOneOPFilter
TrigReport     1   87         65         64          1          0 hltEle25WPTightGsfChi2Filter
TrigReport     1   88         64         64          0          0 hltEle25WPTightGsfMissingHitsFilter
TrigReport     1   89         64         63          1          0 hltEle25WPTightGsfDetaFilter
TrigReport     1   90         63         63          0          0 hltEle25WPTightGsfDphiFilter
TrigReport     1   91         63         63          0          0 hltElectronsVertex
TrigReport     1   92         63         63          0          0 hltSiPixelDigis
TrigReport     1   93         63         63          0          0 hltSiPixelClusters
TrigReport     1   94         63         63          0          0 hltSiPixelClustersCache
TrigReport     1   95         63         63          0          0 hltSiPixelRecHits
TrigReport     1   96         63         63          0          0 hltPixelLayerTriplets
TrigReport     1   97         63         63          0          0 hltPixelTracksElectronsFilter
TrigReport     1   98         63         63          0          0 hltPixelTracksElectronsFitter
TrigReport     1   99         63         63          0          0 hltPixelTracksTrackingRegionsElectrons
TrigReport     1  100         63         63          0          0 hltPixelTracksHitDoubletsElectrons
TrigReport     1  101         63         63          0          0 hltPixelTracksHitTripletsElectrons
TrigReport     1  102         63         63          0          0 hltPixelTracksElectrons
TrigReport     1  103         63         63          0          0 hltPixelVerticesElectrons
TrigReport     1  104         63         63          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1  105         63         63          0          0 hltSiStripRawToClustersFacility
TrigReport     1  106         63         63          0          0 hltSiStripClusters
TrigReport     1  107         63         63          0          0 hltIter0ElectronsPixelSeedsFromPixelTracks
TrigReport     1  108         63         63          0          0 hltIter0ElectronsCkfTrackCandidates
TrigReport     1  109         63         63          0          0 hltIter0ElectronsCtfWithMaterialTracks
TrigReport     1  110         63         63          0          0 hltIter0ElectronsTrackSelectionHighPurity
TrigReport     1  111         63         63          0          0 hltIter1ElectronsClustersRefRemoval
TrigReport     1  112         63         63          0          0 hltIter1ElectronsMaskedMeasurementTrackerEvent
TrigReport     1  113         63         63          0          0 hltIter1ElectronsPixelLayerTriplets
TrigReport     1  114         63         63          0          0 hltIter1ElectronsPixelTrackingRegions
TrigReport     1  115         63         63          0          0 hltIter1ElectronsPixelClusterCheck
TrigReport     1  116         63         63          0          0 hltIter1ElectronsPixelHitDoublets
TrigReport     1  117         63         63          0          0 hltIter1ElectronsPixelHitTriplets
TrigReport     1  118         63         63          0          0 hltIter1ElectronsPixelSeeds
TrigReport     1  119         63         63          0          0 hltIter1ElectronsCkfTrackCandidates
TrigReport     1  120         63         63          0          0 hltIter1ElectronsCtfWithMaterialTracks
TrigReport     1  121         63         63          0          0 hltIter1ElectronsTrackSelectionHighPurityLoose
TrigReport     1  122         63         63          0          0 hltIter1ElectronsTrackSelectionHighPurityTight
TrigReport     1  123         63         63          0          0 hltIter1ElectronsTrackSelectionHighPurity
TrigReport     1  124         63         63          0          0 hltIter1MergedForElectrons
