TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1000 passed = 228 failed = 772

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   84         88         88          0          0 hltEgammaGsfElectrons
TrigReport     1   85         88         88          0          0 hltEgammaGsfTrackVars
TrigReport     1   86         88         86          2          0 hltEle25WPTightGsfOneOEMinusOneOPFilter
TrigReport     1   87         86         85          1          0 hltEle25WPTightGsfChi2Filter
TrigReport     1   88         85         83          2          0 hltEle25WPTightGsfMissingHitsFilter
TrigReport     1   89         83         83          0          0 hltEle25WPTightGsfDetaFilter
TrigReport     1   90         83         82          1          0 hltEle25WPTightGsfDphiFilter
TrigReport     1   91         82         82          0          0 hltElectronsVertex
TrigReport     1   92         82         82          0          0 hltSiPixelDigis
TrigReport     1   93         82         82          0          0 hltSiPixelClusters
TrigReport     1   94         82         82          0          0 hltSiPixelClustersCache
TrigReport     1   95         82         82          0          0 hltSiPixelRecHits
TrigReport     1   96         82         82          0          0 hltPixelLayerTriplets
TrigReport     1   97         82         82          0          0 hltPixelTracksElectronsFilter
TrigReport     1   98         82         82          0          0 hltPixelTracksElectronsFitter
TrigReport     1   99         82         82          0          0 hltPixelTracksTrackingRegionsElectrons
TrigReport     1  100         82         82          0          0 hltPixelTracksHitDoubletsElectrons
TrigReport     1  101         82         82          0          0 hltPixelTracksHitTripletsElectrons
TrigReport     1  102         82         82          0          0 hltPixelTracksElectrons
TrigReport     1  103         82         82          0          0 hltPixelVerticesElectrons
TrigReport     1  104         82         82          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1  105         82         82          0          0 hltSiStripRawToClustersFacility
TrigReport     1  106         82         82          0          0 hltSiStripClusters
TrigReport     1  107         82         82          0          0 hltIter0ElectronsPixelSeedsFromPixelTracks
TrigReport     1  108         82         82          0          0 hltIter0ElectronsCkfTrackCandidates
TrigReport     1  109         82         82          0          0 hltIter0ElectronsCtfWithMaterialTracks
TrigReport     1  110         82         82          0          0 hltIter0ElectronsTrackSelectionHighPurity
TrigReport     1  111         82         82          0          0 hltIter1ElectronsClustersRefRemoval
